"性別" "憂鬱" "被霸凌" "指數" "年齡"
男 19 0 19.49 16
男 29 1 23.53 15
男 7 1 22.32 15
男 17 3 19.13 16
男 15 3 19.49 17
男 3 0 23.44 12
男 2 3 23.15 12
男 18 1 20.38 18
男 11 1 25.97 17
男 27 9 18.02 12
男 16 1 21.14 18
男 5 4 17.51 12
男 10 0 19.82 16
男 3 0 16.53 13
男 3 0 27.1 16
男 5 0 21.45 13
男 6 0 18.73 15
男 10 2 22.14 14
男 8 0 15.24 16
男 14 3 26.57 17
男 2 3 26.17 13
男 1 0 17.93 14
男 11 0 18.86 16
男 3 0 16.65 13
男 6 0 23.39 14
男 10 6 29.67 14
男 10 6 16.9 14
男 26 3 19.94 16
男 8 0 21.97 17
男 17 2 20.96 16
男 50 7 22.43 15
男 12 1 17.71 16
男 46 1 22.04 16
男 12 1 18.62 14
男 6 6 27.18 14
男 13 0 21.05 17
男 6 3 21.01 16
男 16 4 21.21 18
男 16 0 29.67 13
男 11 2 24.51 18
男 16 2 20.81 15
男 28 2 21.77 17
男 19 4 18.52 17
男 28 0 21.01 18
男 23 0 21.64 13
男 20 0 18.37 14
男 19 5 23.23 13
男 11 0 20.18 15
男 15 0 22.64 14
男 6 0 19.27 16
男 11 3 21.09 13
男 14 2 23.43 14
男 3 0 23.81 15
男 6 4 16.38 12
男 29 2 18.21 19
男 38 2 21.14 16
男 5 0 23.77 16
男 3 0 22.31 15
男 26 2 19.38 17
男 14 3 18.37 17
男 21 0 20.06 15
男 11 3 20.83 12
男 11 3 18.29 17
男 6 2 19.78 12
男 5 0 20.76 14
男 8 3 19.38 14
男 31 2 25.95 15
男 14 2 22.16 17
男 13 4 18.78 14
男 9 3 21.34 12
男 36 5 23.45 16
男 27 2 21.26 14
男 3 0 24.91 15
男 9 1 18.04 15
男 32 6 15.58 13
男 3 1 22.6 16
男 23 0 22.84 17
男 15 2 16.66 12
男 11 4 26.67 13
男 12 1 19.31 13
男 16 0 19.81 15
男 11 0 19.29 16
男 14 0 19.84 15
男 9 1 15.94 15
男 7 1 20.44 16
男 10 0 19.66 14
男 9 1 18.59 14
男 1 0 23.61 13
男 18 0 16.22 14
男 6 1 20.76 14
男 8 0 17.3 18
男 18 1 23.5 17
男 11 1 20.34 16
男 13 2 31.24 15
男 20 2 23.23 12
男 13 1 42.98 14
男 8 3 22.58 14
男 19 3 18.52 18
男 23 2 15.22 12
男 6 0 18.52 19
男 12 0 20.76 14
男 8 4 15.58 13
男 8 1 19.27 16
男 19 0 19.36 15
男 16 2 26.93 14
男 22 2 22.2 15
男 20 2 21.22 15
男 13 4 25 14
男 24 2 24.45 16
男 12 0 16.41 12
男 11 4 16.53 13
男 10 3 17.31 13
男 9 4 24.98 13
男 6 4 19.94 14
男 16 1 16.98 13
男 29 3 17.63 15
男 25 1 19.61 18
男 2 0 23.39 14
男 19 3 25.06 16
男 8 0 22.68 14
男 5 0 19 14
男 10 6 17.82 13
男 12 1 21.38 15
男 11 1 17.37 13
男 17 2 23.66 17
男 0 0 20.32 12
男 8 4 22.86 17
男 15 3 17.72 15
男 30 4 25.31 15
男 22 1 25.65 16
男 22 4 21.47 15
男 19 1 16.96 16
男 11 4 24.22 15
男 6 4 26.9 13
男 12 5 15.35 13
男 9 1 17.9 13
男 14 0 18.38 13
男 3 0 16.53 14
男 10 0 23.88 15
男 22 5 17.36 15
男 6 2 20.05 17
男 17 2 20.42 13
男 3 0 16.92 13
男 11 0 23.15 13
男 10 1 17.84 15
男 11 2 26.3 18
男 7 0 23.31 13
男 5 0 21.21 18
男 9 2 13.84 14
男 18 3 27.06 16
男 8 0 19.72 14
男 15 3 29.38 15
男 11 1 21.08 13
男 26 5 26.22 16
男 9 0 22.38 14
男 16 5 23.95 13
男 29 5 23.14 12
男 8 2 17.85 15
男 26 5 17.96 13
男 32 6 28.39 12
男 13 2 19.33 15
男 8 1 23.51 17
男 29 0 21.41 16
男 18 0 17.9 17
男 10 1 23.28 13
男 16 1 19.05 16
男 0 1 17.01 16
男 7 4 19.14 12
男 37 4 22.46 16
男 5 0 30.67 15
男 7 0 18.34 16
男 11 0 22.41 16
男 34 1 22.84 16
男 12 2 23.18 13
男 12 2 18.92 13
男 24 4 19.05 15
男 12 0 16.73 12
男 13 1 22.23 15
男 11 2 22.02 17
男 22 2 19.27 14
男 31 2 23.46 18
男 17 1 20.31 13
男 12 1 27.68 18
男 14 3 31.02 13
男 0 0 25.1 14
男 11 0 18.29 16
男 7 3 22.47 17
男 19 3 20.8 14
男 10 0 22.69 14
男 27 2 27.66 15
男 11 1 19.17 13
男 3 5 24.32 12
男 1 3 25.04 14
男 4 1 22.15 12
男 14 4 21.63 14
男 0 3 18.37 13
男 31 4 19.26 16
男 15 1 21.95 16
男 9 0 26.57 14
男 3 1 16.65 13
男 4 0 20.17 12
男 13 2 27.31 13
男 28 1 30.26 12
男 13 4 18.52 14
男 24 0 19.44 17
男 16 4 33.95 15
男 24 6 16.9 14
男 15 1 17.29 12
男 24 2 19.02 12
男 7 3 22.79 14
男 18 3 19.59 17
男 18 3 17.37 17
男 14 3 19.38 16
男 37 2 40.35 16
男 8 1 19.79 17
男 11 1 21.37 15
男 14 6 25.91 14
男 5 0 20.7 15
男 15 1 20.55 15
男 6 1 26.67 13
男 13 0 18.52 16
男 11 2 20.76 17
男 33 3 18.93 13
男 3 2 22.76 12
男 5 2 20.19 13
男 9 1 19.49 14
男 2 0 21.83 15
男 9 1 21.78 15
男 14 0 16.04 13
男 17 1 18.34 17
男 6 2 30.86 13
男 7 1 29.41 16
男 23 5 20.44 17
男 17 0 17.28 17
男 21 4 23.88 13
男 14 5 24.58 14
男 15 3 16.65 13
男 14 6 17.78 12
男 24 4 14.84 14
男 13 0 17.51 16
男 15 0 21.67 16
男 7 4 23.5 13
男 5 0 15.63 13
男 12 0 17.15 14
男 20 4 16 14
男 26 2 22.84 16
男 3 2 17.72 13
男 13 1 16.65 12
男 8 1 21.15 13
男 1 0 15.24 13
男 17 2 19 15
男 13 4 18.73 12
男 12 0 24.38 15
男 17 2 19.03 18
男 4 2 38.97 15
男 6 4 22.49 16
男 19 1 23.31 15
男 16 6 25.44 15
男 2 0 16.9 14
男 5 2 23.53 13
男 16 1 23.11 15
男 5 4 23.51 12
男 15 1 23.71 16
男 11 0 17.99 16
男 10 3 18.33 16
男 5 3 19.3 14
男 3 0 19.6 15
男 14 2 19.38 14
男 16 2 28.34 16
男 50 5 24.03 13
男 10 0 21.22 17
男 5 2 22.14 14
男 20 3 20.85 13
男 14 1 17.26 14
男 13 3 20.07 15
男 9 3 20.57 17
男 15 4 25.35 16
男 12 0 14.88 13
男 12 1 20.06 17
男 12 5 23.39 17
男 12 0 18.71 18
男 2 1 26.12 16
男 30 1 17.36 13
男 9 2 17.92 14
男 5 2 17.25 14
男 8 1 17.36 14
男 13 0 19.81 13
男 11 2 19.02 12
男 30 1 26.81 15
男 19 3 20.5 13
男 21 1 19.15 16
男 30 2 22.04 16
男 6 0 30.48 16
男 6 3 20.2 13
男 9 2 26.72 13
男 35 2 24.61 15
男 2 0 15.63 13
男 14 6 23.09 14
男 3 3 28.41 15
男 10 3 18.37 12
男 4 0 15.06 15
男 10 1 16 14
男 2 2 23.89 14
男 15 1 20.66 16
男 31 2 20.76 14
男 5 1 19.57 17
男 30 7 21.93 12
男 17 3 26.37 12
男 24 3 21.37 17
男 15 6 27.68 17
男 30 5 25.46 13
男 1 3 30.69 16
男 6 0 21.73 16
男 12 0 14.86 15
男 12 6 20.28 14
男 11 7 14.76 13
男 16 4 17.26 15
男 17 4 15.31 13
男 43 4 23.53 17
男 20 0 21.63 12
男 9 1 13.78 12
男 18 2 24.57 15
男 7 0 21.94 13
男 23 2 24.39 17
男 39 3 18.75 14
男 2 1 22.31 12
男 16 0 24.39 16
男 44 0 12.51 15
男 6 2 18.05 12
男 4 1 17.16 14
男 12 0 19.03 14
男 8 1 18.08 15
男 6 0 15.82 14
男 14 3 23.59 16
男 31 5 24.8 16
男 16 0 21.14 16
男 32 1 21.78 14
男 8 0 22.86 14
男 6 0 19.84 13
男 5 0 34.24 13
男 49 12 20.41 13
男 0 0 21.09 14
男 34 1 17.72 14
男 27 2 19.59 16
男 23 2 24.09 17
男 6 5 14.02 15
男 43 2 16.2 13
男 7 0 16.6 14
男 24 1 25.71 17
男 4 2 15.57 16
男 24 3 17.56 17
男 15 1 17.36 12
男 9 2 27.02 18
男 28 3 20.96 13
男 20 0 21.08 16
男 8 0 21.01 14
男 7 3 18.55 13
男 23 2 20.28 16
男 5 1 16.42 13
男 2 2 15.48 13
男 31 5 18.43 13
男 23 3 22.15 13
男 7 4 15.06 14
男 23 3 23.44 12
男 19 0 22.07 13
男 33 6 17.75 13
男 36 3 21.22 18
男 14 5 32.87 13
男 9 0 17.44 12
男 13 4 18.37 13
男 11 0 28.08 12
男 43 6 18.38 16
男 20 3 19.83 14
男 5 0 18.72 17
男 17 3 15.82 13
男 20 3 16.26 15
男 18 1 20.72 16
男 17 3 20.76 17
男 12 2 21.34 18
男 8 0 19.33 18
男 23 4 19.59 15
男 20 1 20.18 16
男 8 0 18.17 16
男 5 0 20.62 16
男 16 4 17.22 13
男 6 0 18.73 13
男 15 3 31.25 14
男 7 0 18.99 18
男 0 0 21.15 17
男 8 2 22.68 17
男 6 2 19.95 14
男 43 2 17.22 13
男 21 0 17.16 15
男 11 0 18 18
男 4 0 17.99 15
男 6 2 24.22 15
男 12 12 17.67 12
男 14 0 22.15 14
男 12 3 22.66 13
男 18 1 21.39 16
男 38 1 16.65 14
男 9 2 16.42 13
男 0 0 23.23 12
男 11 0 31.02 17
男 13 2 21.08 15
男 6 2 19.74 16
男 20 2 22.28 18
男 16 3 17.75 13
男 10 0 30.48 14
男 2 0 20.45 12
男 6 0 16.65 12
男 31 5 30.78 14
男 6 0 19.1 12
男 12 0 20.76 15
男 6 0 17.99 16
男 22 2 17.3 14
男 14 2 21.3 18
男 21 3 22.58 17
男 6 2 20.2 16
男 8 0 20.18 15
男 6 1 22.99 16
男 10 0 27.68 17
男 4 0 16.41 14
男 9 0 18.75 16
男 16 1 22.14 12
男 11 2 21.19 15
男 17 1 22.05 16
男 16 2 28.41 13
男 18 5 24.77 13
男 18 4 20.99 18
男 12 3 19.96 12
男 1 0 18.59 15
男 7 0 18.82 15
男 7 3 21.91 14
男 6 1 21.97 14
男 13 3 19.72 14
男 20 5 18.19 16
男 8 0 16.01 14
男 20 3 17.72 16
男 10 2 21.26 13
男 16 0 19.15 18
男 14 0 18.34 17
男 12 1 25.25 18
男 8 0 16.26 14
男 13 0 19.25 17
男 13 5 18.38 14
男 14 3 24.89 12
男 18 2 20.62 15
男 8 0 19.14 13
男 5 1 21.22 16
男 6 1 19.38 14
男 16 3 17.51 17
男 25 4 20.9 18
男 26 3 27.77 15
男 21 1 26.35 14
男 16 1 21.55 18
男 10 4 18.03 14
男 21 2 20.2 15
男 11 3 19.96 16
男 16 1 20.76 16
男 22 3 24.45 13
男 4 3 19.53 13
男 12 4 21.14 17
男 0 0 18.07 15
男 2 3 19.49 14
男 9 4 17.12 12
男 6 0 19.47 14
男 18 3 18.38 16
男 0 0 20.81 16
男 15 2 17.65 14
男 5 1 20.68 12
男 10 2 25.69 15
男 8 1 17.72 15
男 26 0 18.78 15
男 14 1 18.31 14
男 7 6 19.74 16
男 24 0 21.22 17
男 29 2 26.83 15
男 12 4 18.37 17
男 20 2 23.14 17
男 14 1 21.2 15
男 8 3 20.29 17
男 3 0 20.28 18
男 12 0 20.2 14
男 8 2 22.84 16
男 10 4 25.71 15
男 12 0 23.2 16
男 40 11 20.44 16
男 14 1 20.76 17
男 30 6 25.88 13
男 11 3 20.93 13
男 14 3 18.94 18
男 10 0 20.76 17
男 17 2 20.86 14
男 32 3 25.61 15
男 8 0 23.67 18
男 9 0 21.63 17
男 22 0 24.46 17
男 8 3 22.91 18
男 7 4 21.38 15
男 33 6 29.07 18
男 31 6 23.8 13
男 7 2 25.31 16
男 5 0 18.73 13
男 14 7 18.31 15
男 22 2 24.69 17
男 23 1 18.98 14
男 19 0 22.58 13
男 13 1 24.49 16
男 13 3 22.06 13
男 6 0 24.46 13
男 10 1 14.2 14
男 21 4 22.49 17
男 14 2 27.34 17
男 4 2 20.57 18
男 21 0 19.95 14
男 19 6 15.79 13
男 6 2 19.41 16
男 18 1 22.09 17
男 13 0 28.13 12
男 8 1 18.87 14
男 18 3 17.78 15
男 21 3 23.55 17
男 33 1 19.83 16
男 23 2 21.56 18
男 7 3 25.69 17
男 10 1 19.69 17
男 24 2 21.3 16
男 17 0 16.31 15
男 4 2 27.41 13
男 15 0 20.31 18
男 23 3 18 17
男 3 1 26.03 14
男 20 0 18.93 15
男 4 0 26.57 14
男 9 0 19.82 15
男 6 0 16.56 14
男 4 0 19.25 17
男 14 1 25.95 15
男 15 1 22.23 18
男 5 5 19.22 12
男 38 0 24.22 13
男 22 2 14.7 15
男 18 1 19.84 12
男 7 1 19.03 18
男 9 3 17.85 14
男 8 3 27.55 14
男 6 3 22.49 14
男 35 1 17.97 15
男 16 0 17.16 12
男 7 2 18.21 14
男 23 1 14.07 12
男 15 0 26.7 15
男 11 1 19.54 17
男 29 5 23.05 13
男 2 2 17.3 14
男 17 2 25.31 16
男 12 4 18.87 13
男 24 1 20.38 18
男 16 5 30.1 14
男 15 2 21.95 15
男 17 1 18.74 17
男 23 1 23.39 18
男 9 0 23.53 15
男 20 3 24.49 16
男 24 0 17.35 13
男 26 2 18.36 13
男 18 2 21.22 15
男 16 2 15.62 15
男 45 5 26.12 17
男 23 0 24.74 17
男 12 0 16.53 13
男 8 3 16.33 17
男 6 0 26.45 15
男 0 0 25.69 13
男 7 4 19.72 17
男 8 2 23.44 12
男 32 0 27.14 17
男 10 2 23.36 18
男 29 0 15.81 15
男 17 3 18.83 13
男 31 8 18.97 12
男 16 3 22.09 16
男 24 3 15.56 13
男 24 0 23.31 14
男 12 2 24.91 15
男 4 0 18.34 17
男 0 0 18.49 12
男 13 5 23.59 14
男 29 2 16.8 16
男 24 4 20.2 14
男 19 2 17.96 17
男 7 2 15.62 13
男 0 0 19.08 12
男 27 5 18.67 13
男 12 2 25.39 16
男 6 0 15.94 12
男 9 1 22.23 14
男 11 0 22.76 18
男 14 3 17.19 13
男 14 0 25.71 16
男 7 3 19.27 16
男 21 2 22.98 18
男 17 0 15.09 12
男 19 4 25.83 15
男 6 0 23.03 15
男 20 0 23.94 16
男 1 2 21.25 16
男 15 5 22.84 15
男 13 0 15.67 17
男 22 4 23.42 15
男 21 3 18.36 13
男 12 0 17.16 16
男 12 5 20.96 18
男 15 2 39.6 13
男 18 3 21.11 17
男 11 3 21.63 17
男 22 2 22.99 17
男 6 1 16.85 14
男 12 0 17.31 13
男 10 3 19.1 14
男 22 1 20.52 17
男 27 0 18.83 15
男 6 2 20.57 16
男 11 0 20.96 17
男 11 4 20.2 13
男 23 2 19.57 17
男 28 4 25.21 16
男 7 0 20.08 17
男 12 0 17.01 17
男 31 4 34.65 15
男 21 0 26.87 18
男 41 11 23.31 12
男 9 4 27.76 14
男 29 2 19.03 18
男 4 0 25.35 14
男 22 2 22.4 16
男 5 4 23.14 15
男 10 1 23.66 16
男 8 0 27.34 17
男 10 4 17.7 13
男 13 0 23.32 16
男 8 2 32.7 14
男 17 1 17.48 15
男 6 2 17.78 14
男 19 4 29.32 18
男 3 2 24.11 14
男 24 3 20.2 16
男 12 3 17.26 14
男 7 1 19.05 13
男 5 1 18.94 18
男 5 2 19.1 14
男 7 0 16.33 13
男 7 4 22.09 17
男 11 2 16.94 14
男 24 0 19.03 15
男 40 0 19.05 17
男 8 0 19.23 13
男 18 0 18 15
男 25 4 17.18 14
男 36 3 17.16 17
男 10 1 19.03 16
男 7 1 17.36 13
男 11 3 29.41 18
男 47 7 24.44 13
男 21 2 17.96 16
男 43 2 24.17 17
男 10 3 21.55 16
男 24 9 16.89 13
男 16 1 23.63 17
男 24 4 22.95 15
男 18 0 20.45 17
男 1 0 19.44 12
男 12 0 16.18 13
男 12 3 21.08 13
男 3 0 20.32 13
男 14 3 20.48 18
男 13 2 18.07 15
男 6 0 17.31 12
男 11 5 16.69 14
男 1 4 23.38 15
男 9 0 22.06 17
男 21 5 20.08 13
男 13 2 18.9 13
男 14 2 17.12 13
男 24 4 22.04 13
男 8 1 21.19 17
男 12 0 23.31 12
男 50 11 24.49 17
男 18 1 21.88 17
男 25 6 20.6 17
男 14 0 18.07 14
男 19 7 18.97 12
男 14 1 20.83 13
男 16 1 18.38 15
男 2 0 18.11 16
男 9 0 18.78 13
男 37 0 22.04 18
男 18 2 24.62 17
男 7 1 20.09 15
男 24 0 31.25 17
男 15 0 19.03 14
男 4 2 22.07 13
男 27 0 22.57 14
男 14 4 19.13 17
男 8 1 19.05 13
男 9 0 22.89 12
男 6 2 20.05 17
男 16 3 28.2 12
男 13 2 17.16 17
男 30 3 23.12 17
男 13 0 22.09 16
男 39 0 21.83 17
男 24 8 16.53 13
男 18 2 24.73 15
男 10 0 20.31 18
男 19 0 19.69 18
男 8 2 24.68 18
男 0 1 18.75 13
男 15 4 25.39 15
男 1 1 21.45 15
男 12 4 17.91 12
男 5 2 25.71 14
男 14 2 14.84 13
男 9 1 19.71 15
男 35 3 21.72 13
男 24 2 17.37 17
男 40 11 28.06 17
男 13 0 22.34 17
男 5 1 17.26 13
男 23 6 19.05 13
男 12 3 23.83 12
男 12 0 19.74 12
男 24 5 20.7 15
男 14 0 19.47 15
男 7 0 16.9 13
男 11 2 15.06 14
男 18 0 25.28 16
男 5 0 23.74 17
男 12 0 17.78 14
男 22 0 21.71 16
男 11 2 21.45 14
男 35 8 23.15 12
男 10 3 25.06 16
男 39 3 20.03 12
男 2 0 22.65 17
男 38 0 35.11 14
男 11 0 22.07 12
男 5 0 27.31 14
男 7 3 18.37 14
男 19 0 24.22 15
男 6 0 27.76 15
男 21 2 20.08 16
男 11 0 17.44 13
男 10 2 19.96 13
男 15 2 18.67 12
男 20 2 17.31 13
男 26 6 19.59 14
男 26 2 17.6 13
男 5 0 16.44 13
男 14 3 22.06 13
男 28 0 19.54 17
男 36 4 20.08 14
男 13 1 34.79 12
男 22 2 21.45 13
男 4 0 20.09 13
男 15 3 24.11 17
男 11 3 15.42 13
男 16 0 21.73 16
男 6 1 25.54 16
男 6 0 14.33 14
男 13 3 18.71 15
男 5 4 18.59 17
男 1 0 24.77 16
男 10 0 17.3 18
男 21 1 18.75 13
男 22 3 30.07 17
男 12 7 19.22 12
男 39 2 20.57 17
男 12 3 30.45 16
男 25 7 19.82 17
男 5 2 16.23 12
男 15 1 19.94 18
男 27 4 17.04 13
男 12 0 27.1 17
男 19 4 27.68 16
男 22 1 21.22 17
男 5 1 16.36 13
男 27 3 26.73 13
男 7 1 18.94 15
男 10 0 26.01 16
男 21 0 17.95 13
男 21 3 19.38 16
男 3 0 19.53 14
男 17 0 17.16 14
男 23 3 21.2 18
男 15 3 15.06 16
男 22 1 18.47 16
男 27 2 25.4 16
男 12 3 18.37 14
男 19 2 25.99 16
男 9 2 18.59 14
男 25 1 22.99 17
男 3 0 19.53 13
男 15 0 18.82 12
男 12 0 17.09 12
男 7 2 28.71 16
男 21 3 28.69 15
男 7 1 23.77 17
男 26 0 22.23 16
男 33 1 19.61 17
男 15 4 17.65 16
男 24 4 19.95 12
男 7 2 16 12
男 10 0 17.26 12
男 10 3 18.5 16
男 12 2 20.7 16
男 6 5 21.22 15
男 19 2 21.8 16
男 11 0 19.57 13
男 12 0 17.87 14
男 20 3 20.06 18
男 12 5 22.06 14
男 32 2 20.9 17
男 14 5 29.3 12
男 5 0 16.98 13
男 6 0 16.76 12
男 25 6 23.81 17
男 4 0 17.01 12
男 5 1 17.55 14
男 24 5 21.05 16
男 18 1 28.39 13
男 14 1 26.4 16
男 7 0 20.61 13
男 12 0 17.76 15
男 16 1 23.44 13
